id,meetings,crosslists,max_capacity,longname,identifier,instructor,weight,external_url,slug,assigned_students,waitlisted_students,is_locked,is_required,target_capacity,description,allow_pass_fail,allow_student_add_drop
30548,"[{'id': 37353, 'location': 'Kravis 670', 'day': 2, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],72.0,(MBA - Full Term) Launch Your Startup,MGMTB8519-001-20221-MBA,"Jack Mcgourty,William O'Farrell",3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8519-001,MGMTB8519-001-20221-MBA,26,0,True,False,72,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30549,"[{'id': 37354, 'location': 'Kravis 880', 'day': 3, 'starttime': '08:30:00', 'endtime': '11:45:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],30.0,(MBA - A Term) Challenges in Launching and Growing Social Ventures,MGMTB8526-001-20221-MBA,"Julius Mokrauer,William O'Farrell",1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8526-001,MGMTB8526-001-20221-MBA,29,0,True,False,30,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30550,"[{'id': 37355, 'location': 'Geffen 540', 'day': 3, 'starttime': '10:20:00', 'endtime': '13:35:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],43.0,(MBA - Full Term) Managerial Negotiations,MGMTB8510-001-20221-MBA,Michael Slepian,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8510-001,MGMTB8510-001-20221-MBA,43,0,False,False,43,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30551,"[{'id': 37356, 'location': 'Geffen 540', 'day': 3, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],43.0,(MBA - Full Term) Managerial Negotiations,MGMTB8510-002-20221-MBA,Michael Slepian,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8510-002,MGMTB8510-002-20221-MBA,43,0,False,False,43,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30552,"[{'id': 37357, 'location': 'Kravis 410', 'day': 2, 'starttime': '08:30:00', 'endtime': '11:45:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],36.0,(MBA - A Term) The Leader's Voice: Communication Skills for Leading Organizations,MGMTB8538-002-20221-MBA,Jeffrey Golde,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8538-002,MGMTB8538-002-20221-MBA,36,0,False,False,36,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30553,"[{'id': 37358, 'location': 'Geffen 520', 'day': 1, 'starttime': '15:50:00', 'endtime': '19:05:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],35.0,(MBA - A Term) The Leader's Voice: Communication Skills for Leading Organizations,MGMTB8538-001-20221-MBA,Natasha Velikoselskiy,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8538-001,MGMTB8538-001-20221-MBA,35,0,False,False,35,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30554,"[{'id': 37359, 'location': 'Geffen 540', 'day': 2, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],43.0,(MBA - Full Term) Managerial Negotiations,MGMTB8510-006-20221-MBA,Rachel Mcdonald,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8510-006,MGMTB8510-006-20221-MBA,43,0,False,False,43,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30555,"[{'id': 37360, 'location': 'Kravis 410', 'day': 2, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-18', 'enddate': '2022-01-22'}, {'id': 37361, 'location': 'Kravis 410', 'day': 3, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-18', 'enddate': '2022-01-22'}, {'id': 37362, 'location': 'Kravis 410', 'day': 4, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-18', 'enddate': '2022-01-22'}, {'id': 37363, 'location': 'Kravis 410', 'day': 5, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-18', 'enddate': '2022-01-22'}, {'id': 37364, 'location': 'Kravis 410', 'day': 6, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-18', 'enddate': '2022-01-22'}]",[],49.0,(MBA - Block Week - TWRFS) Advanced Organizational Change,MGMTB8512-001-20221-MBA,Todd Jick,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8512-001,MGMTB8512-001-20221-MBA,49,0,True,False,49,In-person. In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30556,"[{'id': 37947, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-05', 'enddate': '2022-03-05'}, {'id': 37948, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-12', 'enddate': '2022-03-12'}, {'id': 37949, 'location': '', 'day': 5, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-25', 'enddate': '2022-03-25'}, {'id': 37950, 'location': '', 'day': 5, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-04-08', 'enddate': '2022-04-08'}, {'id': 37951, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-04-09', 'enddate': '2022-04-09'}, {'id': 37952, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-04-22', 'enddate': '2022-04-22'}]",[],36.0,(EMBA-NY Friday/Saturday Electives) The Leader's Voice: Communication Skills for Leading Organizations,MGMTB7538-001-20221-EMBA,Jeffrey Golde,1.5,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7538-001,MGMTB7538-001-20221-EMBA,31,0,True,False,36,In-person,False,True
30557,"[{'id': 37953, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-05', 'enddate': '2022-03-05'}, {'id': 37954, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-12', 'enddate': '2022-03-12'}, {'id': 37955, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 37956, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-04-02', 'enddate': '2022-04-02'}, {'id': 37957, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-04-09', 'enddate': '2022-04-09'}, {'id': 39237, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-04-23', 'enddate': '2022-04-23'}]",[],36.0,(EMBA-NY Saturday Electives) The Leader's Voice: Communication Skills for Leading Organizations,MGMTB7538-002-20221-EMBA,Natasha Velikoselskiy,1.5,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7538-002,MGMTB7538-002-20221-EMBA,23,0,True,False,36,In-person,False,True
30558,"[{'id': 37365, 'location': 'Kravis 890', 'day': 3, 'starttime': '08:30:00', 'endtime': '11:45:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],73.0,(MBA - Full Term) Foundations of Entrepreneurship,MGMTB8518-001-20221-MBA,Michael Mauskapf,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8518-001,MGMTB8518-001-20221-MBA,73,0,True,False,73,In-person,False,True
30559,"[{'id': 37366, 'location': 'Kravis 870', 'day': 3, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],74.0,(MBA - Full Term) Foundations of Entrepreneurship,MGMTB8518-002-20221-MBA,Michael Mauskapf,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8518-002,MGMTB8518-002-20221-MBA,74,0,False,False,74,In-person,False,True
30560,"[{'id': 37367, 'location': 'Geffen 640', 'day': 1, 'starttime': '10:20:00', 'endtime': '11:50:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}, {'id': 37368, 'location': 'Geffen 640', 'day': 3, 'starttime': '10:20:00', 'endtime': '11:50:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],57.0,(MBA - B Term) Organizational Change,MGMTB8507-001-20221-MBA,Todd Jick,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8507-001,MGMTB8507-001-20221-MBA,57,0,False,False,57,In-person. Reserved seating for 1st Year Students. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30561,"[{'id': 37369, 'location': 'Geffen 640', 'day': 1, 'starttime': '14:00:00', 'endtime': '15:30:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}, {'id': 37370, 'location': 'Geffen 640', 'day': 3, 'starttime': '14:00:00', 'endtime': '15:30:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],57.0,(MBA - B Term) Organizational Change,MGMTB8507-002-20221-MBA,Todd Jick,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8507-002,MGMTB8507-002-20221-MBA,57,0,False,False,57,In-person. Reserved seating for 1st Year Students. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30562,"[{'id': 38384, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-07', 'enddate': '2022-01-07'}, {'id': 38385, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-01-08', 'enddate': '2022-01-08'}, {'id': 38386, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-21', 'enddate': '2022-01-21'}, {'id': 38387, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-01-22', 'enddate': '2022-01-22'}, {'id': 38388, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-05', 'enddate': '2022-02-05'}, {'id': 38389, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-02-18', 'enddate': '2022-02-18'}, {'id': 38390, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-04', 'enddate': '2022-03-04'}, {'id': 38391, 'location': '', 'day': 5, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-11', 'enddate': '2022-03-11'}, {'id': 38392, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-12', 'enddate': '2022-03-12'}, {'id': 38393, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 38394, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-04-08', 'enddate': '2022-04-08'}, {'id': 38395, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-04-09', 'enddate': '2022-04-09'}]",[],44.0,(EMBA-NY Friday/Saturday Electives) Managerial Negotiations,MGMTB7510-001-20221-EMBA,Valerie Purdie-Greenaway,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7510-001,MGMTB7510-001-20221-EMBA,44,0,True,False,44,In-person,False,True
30563,"[{'id': 38397, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-01-22', 'enddate': '2022-01-22'}, {'id': 38398, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-01-29', 'enddate': '2022-01-29'}, {'id': 38399, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-05', 'enddate': '2022-02-05'}, {'id': 38400, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-02-12', 'enddate': '2022-02-12'}, {'id': 38401, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-19', 'enddate': '2022-02-19'}, {'id': 38402, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-02-26', 'enddate': '2022-02-26'}, {'id': 38403, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-05', 'enddate': '2022-03-05'}, {'id': 38404, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-12', 'enddate': '2022-03-12'}, {'id': 38405, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 38406, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-04-02', 'enddate': '2022-04-02'}, {'id': 38407, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-04-09', 'enddate': '2022-04-09'}, {'id': 39238, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-08', 'enddate': '2022-01-08'}]",[],44.0,(EMBA-NY Saturday Electives) Managerial Negotiations,MGMTB7510-002-20221-EMBA,Maya Rossignac-milan,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7510-002,MGMTB7510-002-20221-EMBA,44,0,True,False,44,Online,False,True
30564,"[{'id': 37371, 'location': 'Geffen 540', 'day': 3, 'starttime': '17:40:00', 'endtime': '20:55:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],40.0,(MBA - Full Term) Managerial Negotiations,MGMTB8510-003-20221-MBA,Michael Slepian,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8510-003,MGMTB8510-003-20221-MBA,40,0,False,False,40,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30565,"[{'id': 37372, 'location': 'Geffen 540', 'day': 1, 'starttime': '15:50:00', 'endtime': '19:05:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],42.0,(MBA - Full Term) Managerial Negotiations,MGMTB8510-005-20221-MBA,Shai Davidai,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8510-005,MGMTB8510-005-20221-MBA,42,0,False,False,42,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30566,"[{'id': 38423, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-08', 'enddate': '2022-01-08'}, {'id': 38424, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-01-21', 'enddate': '2022-01-21'}, {'id': 38425, 'location': '', 'day': 5, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-04', 'enddate': '2022-02-04'}, {'id': 38426, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-05', 'enddate': '2022-02-05'}, {'id': 38427, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-18', 'enddate': '2022-02-18'}, {'id': 38428, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-19', 'enddate': '2022-02-19'}, {'id': 38429, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-05', 'enddate': '2022-03-05'}, {'id': 38430, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-11', 'enddate': '2022-03-11'}, {'id': 38431, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-25', 'enddate': '2022-03-25'}, {'id': 38432, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 38433, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-04-08', 'enddate': '2022-04-08'}, {'id': 39241, 'location': '', 'day': 5, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-01-07', 'enddate': '2022-01-07'}]",[],54.0,(EMBA-NY Friday/Saturday Electives) Launch Your Startup,MGMTB7519-001-20221-EMBA,Jack Kaplan,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7519-001,MGMTB7519-001-20221-EMBA,14,0,True,False,54,In-person,False,True
30567,"[{'id': 38447, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-08', 'enddate': '2022-01-08'}, {'id': 38448, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-01-21', 'enddate': '2022-01-21'}, {'id': 38449, 'location': '', 'day': 5, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-04', 'enddate': '2022-02-04'}, {'id': 38450, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-05', 'enddate': '2022-02-05'}, {'id': 38451, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-18', 'enddate': '2022-02-18'}, {'id': 38452, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-19', 'enddate': '2022-02-19'}, {'id': 38453, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-05', 'enddate': '2022-03-05'}, {'id': 38454, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-11', 'enddate': '2022-03-11'}, {'id': 38455, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-25', 'enddate': '2022-03-25'}, {'id': 38456, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 38457, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-04-08', 'enddate': '2022-04-08'}, {'id': 39243, 'location': '', 'day': 5, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-01-07', 'enddate': '2022-01-07'}]",[],62.0,(EMBA-NY Friday/Saturday Electives) Power & Influence,MGMTB7531-001-20221-EMBA,Eric Abrahamson,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7531-001,MGMTB7531-001-20221-EMBA,19,0,True,False,62,In-person,False,True
30568,"[{'id': 38223, 'location': '', 'day': 2, 'starttime': '18:00:00', 'endtime': '21:00:00', 'startdate': '2022-01-04', 'enddate': '2022-04-22'}]",[],32.0,(EMBA - Weeknight Electives) Behavioral Economics & Decision Making,MRKTB7619-001-20221-EMBA,Eric Johnson,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7619-001,MRKTB7619-001-20221-EMBA,32,0,True,False,32,In-person,False,True
30569,"[{'id': 37373, 'location': 'Kravis 630', 'day': 3, 'starttime': '08:30:00', 'endtime': '11:45:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],25.0,(PhD - Full Term) (PhD) Consumer Behavior II,MRKTB9617-001-20221-MSPHD,Eric Johnson,3.0,https://www8.gsb.columbia.edu/courses/PHD/2022/Spring/B9617-001,MRKTB9617-001-20221-MSPHD,13,0,True,False,25,In-person,False,True
30570,"[{'id': 38028, 'location': '', 'day': 7, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-02-13', 'enddate': '2022-02-13'}, {'id': 38029, 'location': '', 'day': 1, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-02-14', 'enddate': '2022-02-14'}, {'id': 38030, 'location': '', 'day': 2, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-02-15', 'enddate': '2022-02-15'}, {'id': 38031, 'location': '', 'day': 3, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-02-16', 'enddate': '2022-02-16'}, {'id': 38032, 'location': '', 'day': 4, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-02-17', 'enddate': '2022-02-17'}]",[],72.0,(EMBA - Global Block Week) Leadership Through Fiction,MGMTB7541-100-20221-EMBA,Bruce Craven,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7541-100,MGMTB7541-100-20221-EMBA,52,0,True,False,72,In-person,False,True
30571,"[{'id': 38046, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-01-22', 'enddate': '2022-01-22'}, {'id': 38047, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-29', 'enddate': '2022-01-29'}, {'id': 38048, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-02-05', 'enddate': '2022-02-05'}, {'id': 38049, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-12', 'enddate': '2022-02-12'}, {'id': 38050, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-19', 'enddate': '2022-02-19'}, {'id': 38051, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-26', 'enddate': '2022-02-26'}, {'id': 38052, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-05', 'enddate': '2022-03-05'}, {'id': 38053, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-12', 'enddate': '2022-03-12'}, {'id': 38054, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 38055, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-04-02', 'enddate': '2022-04-02'}, {'id': 38056, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-04-09', 'enddate': '2022-04-09'}, {'id': 39221, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-01-08', 'enddate': '2022-01-08'}]",[],56.0,(EMBA-NY Saturday Electives) Managerial Decision Making,MGMTB7553-001-20221-EMBA,Joel Brockner,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7553-001,MGMTB7553-001-20221-EMBA,46,0,True,False,56,In-person,False,True
30572,"[{'id': 37374, 'location': 'Kravis 430', 'day': 4, 'starttime': '15:50:00', 'endtime': '19:05:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],12.0,(PhD - Full Term) PhD: Analytical Models for Accounting,ACCTB9008-001-20221-MSPHD,Tim Baldenius,3.0,https://www8.gsb.columbia.edu/courses/PHD/2022/Spring/B9008-001,ACCTB9008-001-20221-MSPHD,9,0,True,False,12,In-person,False,True
30573,"[{'id': 37375, 'location': 'Kravis 410', 'day': 3, 'starttime': '15:50:00', 'endtime': '19:05:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],46.0,(MBA - Full Term) Real Estate Private Equity,FINCB8334-001-20221-MBA,Andrew Jacobs,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8334-001,FINCB8334-001-20221-MBA,31,0,True,False,46,In-person,False,True
30574,"[{'id': 37376, 'location': 'Kravis 820', 'day': 1, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],73.0,(MBA - A Term) Business Analytics II (Half Term),DROMB8103-002-20221-MBA,Hongseok Namkoong,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8103-002,DROMB8103-002-20221-MBA,63,0,False,False,73,In-person,False,True
30575,"[{'id': 37377, 'location': 'Geffen 540', 'day': 4, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],44.0,(MBA - Full Term) Managerial Negotiations,MGMTB8510-008-20221-MBA,Adam Mastroianni,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8510-008,MGMTB8510-008-20221-MBA,44,0,False,False,44,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30576,"[{'id': 37903, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-22', 'enddate': '2022-01-22'}, {'id': 37904, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-01-29', 'enddate': '2022-01-29'}, {'id': 37905, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-02-05', 'enddate': '2022-02-05'}, {'id': 37906, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-12', 'enddate': '2022-02-12'}, {'id': 37907, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-19', 'enddate': '2022-02-19'}, {'id': 37908, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-26', 'enddate': '2022-02-26'}, {'id': 37909, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-05', 'enddate': '2022-03-05'}, {'id': 37910, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-12', 'enddate': '2022-03-12'}, {'id': 37911, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 37912, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-04-02', 'enddate': '2022-04-02'}, {'id': 37913, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-04-09', 'enddate': '2022-04-09'}, {'id': 39239, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-01-08', 'enddate': '2022-01-08'}]",[],44.0,(EMBA-NY Saturday Electives) Managerial Negotiations,MGMTB7510-003-20221-EMBA,Maya Rossignac-milan,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7510-003,MGMTB7510-003-20221-EMBA,21,0,True,False,44,Online,False,True
